Date,Service,Ligne,Nom_de_la_ligne,Taux_de_ponctualité,Nombre_de_voyageurs_à_l'heure_pour_un_voyageur_en_retard
11/1/2014,Transilien,L,Paris Saint-Lazare Sud,83.60,4.40
11/1/2014,Transilien,N,Paris Montparnasse,83.60,10.70
11/1/2014,Transilien,P,Paris Est,83.60,6.90
11/1/2014,Transilien,R,Paris Sud Est,83.60,5.60
11/1/2014,Transilien,U,La Verrière - La Défense,83.60,8.00
12/1/2014,RER,A,RER A,83.60,2.10
12/1/2014,RER,B,RER B,83.60,5.50
12/1/2014,RER,C,RER C,83.60,8.30
12/1/2014,RER,D,RER D,83.60,5.30
12/1/2014,RER,E,RER E,83.60,12.70
12/1/2014,Transilien,H,Paris Nord Ouest,83.60,15.90
12/1/2014,Transilien,J,Paris Saint-Lazare Nord,83.60,5.40
12/1/2014,Transilien,K,Paris Nord Crépy,83.60,5.10
12/1/2014,Transilien,L,Paris Saint-Lazare Sud,83.60,4.10
12/1/2014,Transilien,N,Paris Montparnasse,83.60,15.70
12/1/2014,Transilien,P,Paris Est,83.60,7.80
12/1/2014,Transilien,R,Paris Sud Est,83.60,7.10
12/1/2014,Transilien,U,La Verrière - La Défense,83.60,11.20
1/1/2015,RER,A,RER A,83.60,2.90
1/1/2015,RER,B,RER B,83.60,7.70
1/1/2015,RER,C,RER C,83.60,10.60
1/1/2015,RER,D,RER D,83.60,6.40
1/1/2015,RER,E,RER E,83.60,18.60
1/1/2015,Transilien,H,Paris Nord Ouest,83.60,21.50
1/1/2015,Transilien,J,Paris Saint-Lazare Nord,83.60,6.80
1/1/2015,Transilien,K,Paris Nord Crépy,83.60,6.80
1/1/2015,Transilien,L,Paris Saint-Lazare Sud,83.60,4.60
1/1/2015,Transilien,N,Paris Montparnasse,83.60,15.40
1/1/2015,Transilien,P,Paris Est,83.60,10.00
1/1/2015,Transilien,R,Paris Sud Est,83.60,8.30
1/1/2015,Transilien,U,La Verrière - La Défense,83.60,17.80
2/1/2015,RER,A,RER A,83.60,2.70
2/1/2015,RER,B,RER B,83.60,5.80
2/1/2015,RER,C,RER C,83.60,10.90
2/1/2015,RER,D,RER D,83.60,7.10
2/1/2015,RER,E,RER E,83.60,15.90
2/1/2015,Transilien,H,Paris Nord Ouest,83.60,16.20
2/1/2015,Transilien,J,Paris Saint-Lazare Nord,83.60,5.70
2/1/2015,Transilien,K,Paris Nord Crépy,83.60,5.70
2/1/2015,Transilien,L,Paris Saint-Lazare Sud,83.60,4.50
